note_id,raw_note,gratitude_type,time_of_event
939,my bed,sleeping,
940,new week,new day,
941,basketball,sports,
942,my parents,parent,
943,my family,family,
944,challenges,achievement,
945,my mom ,parent,
946,my dad,parent,
947,my brother,sibling,
948,stanley cup,sports,
949,wfh,work from home,
950,my family,family,
951,friday,weekend,
952,three day weekend,weekend,
953,gym,exercise,
954,minecraft,fun,
955,my family,family,
956,saturdays,weekend,
957,fathers day,parent,
958,dad,parent,
959,time with my dad,parent,
960,travel week,travel,
961,day off,weekend,
962,resting,sleeping,
963,resting,sleeping,
964,my parents,parent,
965,my brother,sibling,
966,wfh,work from home,
967,uber email,achievement,
968,my family,family,
969,thursday,new day,
970,avs,sports,
971,my mom,parent,
972,my brother,sibling,
973,my brother,sibling,
974,travel day,travel,
975,my mom,parent,
976,my brother,sibling,
977,my dad,parent,
978,my health,health,
979,wfh,work from home,
980,my family,family,
981,my family,family,
982,saturday,weekend,
983,good sleep,sleeping,
984,my friends,friends,
985,my family,family,
986,getting home safely,safety,
987,my family,family,
988,day off,weekend,
989,stranger things,entertainment,
990,4th of July,fun,
991,my friends,friends,
992,my family,family,
993,my bed,sleeping,
994,wfh,work from home,
995,my family,family,
996,my life,myself,
997,fast and easy days,new day,
998,haircuts,mental health,
999,friday,weekend,
1000,being alive,new day,
1001,my mom,parent,
1002,my dad,parent,
1003,marvel,entertainment,
1004,the movies,fun,
1005,wfh,work from home,
1006,liz,career,
1007,my grandma,specific family,
1008,my family,family,
1009,me,myself,
1010,my dad,parent,
1011,mom,parent,
1012,fall guys,fun,
1013,wfh,work from home,
1014,my grandma,specific family,
1015,my family,family,
1016,thursday,new day,
1017,sherm,specific family,
1018,my brother,sibling,
1019,friday,weekend,
1020,finding out,other,
1021,grandma,specific family,
1022,my friends,friends,
1023,my fam,family,
1024,top golf,fun,
1025,great weekend,weekend,
1026,my friends,friends,
1027,my family,family,
1028,fern,specific friend,
1029,travel week,travel,
1030,travel day,travel,
1031,my mom,parent,
1032,my family,family,
1033,amazing trip,travel,
1034,her,love,
1035,my family,family,
1036,my life,myself,
1037,my bed,sleeping,
1038,my family,family,
1039,a new day,new day,
1040,my family,family,
1041,wfh,work from home,
1042,my mom,parent,
1043,my brother,sibling,
1044,my bed,sleeping,
1045,sleep,sleeping,
